Title,Release Date,Team,Rating,Times Listed,Number of Reviews,Genres,Summary,Reviews,Plays,Playing,Backlogs,Wishlist,Rank,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
minecraft,2011-11-18,mojang studios,4.3,2300.0,2300.0,adventure simulator,minecraft focuses on allowing the player to explore interact with and modify a dynamicallygenerated map made of onecubicmetersized blocks. in addition to blocks the environment features plants mobs and items. some activities in the game include mining for ore fighting hostile mobs and crafting new blocks and tools by gathering various resources found in the game. the games openended model allows players to create structures creations and artwork on various multiplayer servers or their singleplayer maps. other features include redstone circuits for logic computations and remote actions minecarts and tracks and a mysterious underworld called the nether. a designated but completely optional goal of the game is to travel to a dimension called the end and defeat the ender dragon.,minecraft is what you make of it. unfortunately theres no reason to do anything. muito bom vc pode construir usar sua imaginação mods sobreviver jogar multiplayer e até zerar o jogo! minecraft é um jogo incrível e fica melhor a cada atualização nunca zerei mesmo depois de muitos anos jogo incrível muito divertido e com amigos fica ainda mais legal. baby gammeeee 😭\n                     \n                     had the most fun playing when it was first released sory\n                     \n                     still fun for a couple of hours when playing with people tho! 😁 майнкрафт сука это моя жизнь блядь! майнкраааафт!!! ой мама пришла. e um game maneiro mais jogar ele sem amigos ou sem mods é meio chato,33000.0,1800.0,1100.0,230.0,73,X360,2013.0,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2
minecraft,2011-11-18,mojang studios,4.3,2300.0,2300.0,adventure simulator,minecraft focuses on allowing the player to explore interact with and modify a dynamicallygenerated map made of onecubicmetersized blocks. in addition to blocks the environment features plants mobs and items. some activities in the game include mining for ore fighting hostile mobs and crafting new blocks and tools by gathering various resources found in the game. the games openended model allows players to create structures creations and artwork on various multiplayer servers or their singleplayer maps. other features include redstone circuits for logic computations and remote actions minecarts and tracks and a mysterious underworld called the nether. a designated but completely optional goal of the game is to travel to a dimension called the end and defeat the ender dragon.,minecraft is what you make of it. unfortunately theres no reason to do anything. muito bom vc pode construir usar sua imaginação mods sobreviver jogar multiplayer e até zerar o jogo! minecraft é um jogo incrível e fica melhor a cada atualização nunca zerei mesmo depois de muitos anos jogo incrível muito divertido e com amigos fica ainda mais legal. baby gammeeee 😭\n                     \n                     had the most fun playing when it was first released sory\n                     \n                     still fun for a couple of hours when playing with people tho! 😁 майнкрафт сука это моя жизнь блядь! майнкраааафт!!! ой мама пришла. e um game maneiro mais jogar ele sem amigos ou sem mods é meio chato,33000.0,1800.0,1100.0,230.0,169,PS3,2014.0,Misc,Sony Computer Entertainment,1.97,2.51,0.0,0.94,5.42
minecraft,2011-11-18,mojang studios,4.3,2300.0,2300.0,adventure simulator,minecraft focuses on allowing the player to explore interact with and modify a dynamicallygenerated map made of onecubicmetersized blocks. in addition to blocks the environment features plants mobs and items. some activities in the game include mining for ore fighting hostile mobs and crafting new blocks and tools by gathering various resources found in the game. the games openended model allows players to create structures creations and artwork on various multiplayer servers or their singleplayer maps. other features include redstone circuits for logic computations and remote actions minecarts and tracks and a mysterious underworld called the nether. a designated but completely optional goal of the game is to travel to a dimension called the end and defeat the ender dragon.,minecraft is what you make of it. unfortunately theres no reason to do anything. muito bom vc pode construir usar sua imaginação mods sobreviver jogar multiplayer e até zerar o jogo! minecraft é um jogo incrível e fica melhor a cada atualização nunca zerei mesmo depois de muitos anos jogo incrível muito divertido e com amigos fica ainda mais legal. baby gammeeee 😭\n                     \n                     had the most fun playing when it was first released sory\n                     \n                     still fun for a couple of hours when playing with people tho! 😁 майнкрафт сука это моя жизнь блядь! майнкраааафт!!! ой мама пришла. e um game maneiro mais jogar ele sem amigos ou sem mods é meio chato,33000.0,1800.0,1100.0,230.0,298,PS4,2014.0,Misc,Sony Computer Entertainment Europe,1.38,1.87,0.12,0.65,4.02
minecraft,2011-11-18,mojang studios,4.3,2300.0,2300.0,adventure simulator,minecraft focuses on allowing the player to explore interact with and modify a dynamicallygenerated map made of onecubicmetersized blocks. in addition to blocks the environment features plants mobs and items. some activities in the game include mining for ore fighting hostile mobs and crafting new blocks and tools by gathering various resources found in the game. the games openended model allows players to create structures creations and artwork on various multiplayer servers or their singleplayer maps. other features include redstone circuits for logic computations and remote actions minecarts and tracks and a mysterious underworld called the nether. a designated but completely optional goal of the game is to travel to a dimension called the end and defeat the ender dragon.,minecraft is what you make of it. unfortunately theres no reason to do anything. muito bom vc pode construir usar sua imaginação mods sobreviver jogar multiplayer e até zerar o jogo! minecraft é um jogo incrível e fica melhor a cada atualização nunca zerei mesmo depois de muitos anos jogo incrível muito divertido e com amigos fica ainda mais legal. baby gammeeee 😭\n                     \n                     had the most fun playing when it was first released sory\n                     \n                     still fun for a couple of hours when playing with people tho! 😁 майнкрафт сука это моя жизнь блядь! майнкраааафт!!! ой мама пришла. e um game maneiro mais jogar ele sem amigos ou sem mods é meio chato,33000.0,1800.0,1100.0,230.0,644,XOne,2014.0,Misc,Microsoft Game Studios,1.43,0.76,0.0,0.22,2.41
minecraft,2011-11-18,mojang studios,4.3,2300.0,2300.0,adventure simulator,minecraft focuses on allowing the player to explore interact with and modify a dynamicallygenerated map made of onecubicmetersized blocks. in addition to blocks the environment features plants mobs and items. some activities in the game include mining for ore fighting hostile mobs and crafting new blocks and tools by gathering various resources found in the game. the games openended model allows players to create structures creations and artwork on various multiplayer servers or their singleplayer maps. other features include redstone circuits for logic computations and remote actions minecarts and tracks and a mysterious underworld called the nether. a designated but completely optional goal of the game is to travel to a dimension called the end and defeat the ender dragon.,minecraft is what you make of it. unfortunately theres no reason to do anything. muito bom vc pode construir usar sua imaginação mods sobreviver jogar multiplayer e até zerar o jogo! minecraft é um jogo incrível e fica melhor a cada atualização nunca zerei mesmo depois de muitos anos jogo incrível muito divertido e com amigos fica ainda mais legal. baby gammeeee 😭\n                     \n                     had the most fun playing when it was first released sory\n                     \n                     still fun for a couple of hours when playing with people tho! 😁 майнкрафт сука это моя жизнь блядь! майнкраааафт!!! ой мама пришла. e um game maneiro mais jogar ele sem amigos ou sem mods é meio chato,33000.0,1800.0,1100.0,230.0,715,PSV,2014.0,Misc,Sony Computer Entertainment Europe,0.28,0.79,0.87,0.32,2.25
minecraft,2011-11-18,mojang studios,4.3,2300.0,2300.0,adventure simulator,minecraft focuses on allowing the player to explore interact with and modify a dynamicallygenerated map made of onecubicmetersized blocks. in addition to blocks the environment features plants mobs and items. some activities in the game include mining for ore fighting hostile mobs and crafting new blocks and tools by gathering various resources found in the game. the games openended model allows players to create structures creations and artwork on various multiplayer servers or their singleplayer maps. other features include redstone circuits for logic computations and remote actions minecarts and tracks and a mysterious underworld called the nether. a designated but completely optional goal of the game is to travel to a dimension called the end and defeat the ender dragon.,minecraft is what you make of it. unfortunately theres no reason to do anything. muito bom vc pode construir usar sua imaginação mods sobreviver jogar multiplayer e até zerar o jogo! minecraft é um jogo incrível e fica melhor a cada atualização nunca zerei mesmo depois de muitos anos jogo incrível muito divertido e com amigos fica ainda mais legal. baby gammeeee 😭\n                     \n                     had the most fun playing when it was first released sory\n                     \n                     still fun for a couple of hours when playing with people tho! 😁 майнкрафт сука это моя жизнь блядь! майнкраааафт!!! ой мама пришла. e um game maneiro mais jogar ele sem amigos ou sem mods é meio chato,33000.0,1800.0,1100.0,230.0,4515,WiiU,2016.0,Misc,Microsoft Game Studios,0.18,0.09,0.14,0.03,0.43
god of war,2018-04-20,sony interactive entertainment sie santa monica studio,4.2,2900.0,2900.0,adventure brawler rpg,god of war is the sequel to god of war iii as well as a continuation of the canon god of war chronology. unlike previous installments this game focuses on norse mythology and follows an older and more seasoned kratos and his son atreus in the years since the third game. it is in this harsh unforgiving world that he must fight to survive… and teach his son to do the same.,freya te vejo como figura materna i ruv ! one of the greatest games i have ever played. whenever i think about this game epic norse music plays in my head god of war is a game that understands its audience. kratos is now as tired and old as all of us who played the original games back on the ps2. one of the best games of the ps4 generation that game changes the style of gow saga and it hits in the middle of the target...it s a master piece. the story s deep imersive and the world of that gow s so vivid and beautiful. i m not sure if the new gameplay s an upgrade but it s enjoyable.\n                     \n                     96,21000.0,1100.0,4800.0,2600.0,246,PS2,2005.0,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45
portal 2,2011-04-18,valve electronic arts,4.4,2900.0,2900.0,adventure platform puzzle shooter,sequel to the acclaimed portal 2007 portal 2 pits the protagonist of the original game chell and her new robot friend wheatley against more puzzles conceived by glados an a.i. with the sole purpose of testing the portal guns mechanics and taking revenge on chell for the events of portal. as a result of several interactions and revelations chell once again pushes to escape aperture science labs.,"this is my fav game of all time everything about it is amazing soy muy tonto scar tissue como dicen los chavales de ahora nostalgia thought portal was good? this game is beyond that. this game adds a full narrative with characters and i guarantee hearing banter between wheatley glad0s and cave johnson j.k. simmons!!! is far better than anything heard today. juegarral. me encanta como extiende el lore de aperture laboratories. puzles buenisimos y de los mejores cooperativos ""top 20 games ever. this game made realize i love puzzle games even if im bad at them""",29000.0,471.0,3900.0,1200.0,791,X360,2011.0,Shooter,Valve Software,1.41,0.51,0.01,0.17,2.1
portal 2,2011-04-18,valve electronic arts,4.4,2900.0,2900.0,adventure platform puzzle shooter,sequel to the acclaimed portal 2007 portal 2 pits the protagonist of the original game chell and her new robot friend wheatley against more puzzles conceived by glados an a.i. with the sole purpose of testing the portal guns mechanics and taking revenge on chell for the events of portal. as a result of several interactions and revelations chell once again pushes to escape aperture science labs.,"this is my fav game of all time everything about it is amazing soy muy tonto scar tissue como dicen los chavales de ahora nostalgia thought portal was good? this game is beyond that. this game adds a full narrative with characters and i guarantee hearing banter between wheatley glad0s and cave johnson j.k. simmons!!! is far better than anything heard today. juegarral. me encanta como extiende el lore de aperture laboratories. puzles buenisimos y de los mejores cooperativos ""top 20 games ever. this game made realize i love puzzle games even if im bad at them""",29000.0,471.0,3900.0,1200.0,1018,PS3,2011.0,Shooter,Valve,0.83,0.63,0.02,0.25,1.74
portal 2,2011-04-18,valve electronic arts,4.4,2900.0,2900.0,adventure platform puzzle shooter,sequel to the acclaimed portal 2007 portal 2 pits the protagonist of the original game chell and her new robot friend wheatley against more puzzles conceived by glados an a.i. with the sole purpose of testing the portal guns mechanics and taking revenge on chell for the events of portal. as a result of several interactions and revelations chell once again pushes to escape aperture science labs.,"this is my fav game of all time everything about it is amazing soy muy tonto scar tissue como dicen los chavales de ahora nostalgia thought portal was good? this game is beyond that. this game adds a full narrative with characters and i guarantee hearing banter between wheatley glad0s and cave johnson j.k. simmons!!! is far better than anything heard today. juegarral. me encanta como extiende el lore de aperture laboratories. puzles buenisimos y de los mejores cooperativos ""top 20 games ever. this game made realize i love puzzle games even if im bad at them""",29000.0,471.0,3900.0,1200.0,2701,PC,2011.0,Shooter,Valve Software,0.33,0.32,0.0,0.11,0.76
bloodborne,2015-03-24,fromsoftware sony computer entertainment,4.5,3400.0,3400.0,adventure rpg,"an action rpg in which the player embodies a hunter who after being transfused with the mysterious blood local to the city of yharnam sets off into a ""night of the hunt"" an extended night in which hunters may phase in and out of dream and reality in order to thin the outbreak of abominable beasts that plague the land and for the more resilient and insightful hunters uncover the answers to the hunts many mysteries.","""im not trying to brag but bloodborne wasnt much of a challenge for me. the beginning was a little hard since bloodbornes mechanics are quite different compared to the dark souls trilogy but a few tries and deaths are enough for someone to get used to the way you play."" my favourite in the soulsborne series. i have a very conflicting opinion of this game that may require me to go back for another playthrough. brilliant incredible amazing show stopping spectacular. perfect the greatest game of all time.",17000.0,1100.0,5600.0,3300.0,662,PS4,2015.0,Action,Sony Computer Entertainment,1.0,0.76,0.26,0.36,2.38
